Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2022 Kreiz Breizh Elites Stage 1,12.3,,12.3,4.78,7.49,,,,,,,,,,,,,107,168,90,90
2022 Kreiz Breizh Elites Stage 2,200.97,7.77,182,45.4,156,,,,11.2,,,,,,,,20,47,288,2190,2170
2022 Kreiz Breizh Elites Stage 3,186.47,12.1,173,10.7,176,,,,1.37,,,,,,,,-20,38,248,2580,2600
2022 Kreiz Breizh Elites Stage 4,178.8,14.8,164,37.5,141,,,,,,,,,,,,130,100,282,2220,2090
2022 La Choralis Fourmies Feminine,119.42,4.64,110,12.9,106,,4.78,,,,,,,,,,-30,152,251,1100,1130
2022 La Maurienne,138.8,3.58,127,2.58,132,1.33,4.08,1.3,1.78,,1.38,1.82,1.03,,,,120,501,1726,4690,4570
2022 La Perigord Ladies,118.62,1.62,117,27.6,91.5,,,,,,,,,,,,-20,88,338,1380,1400
2022 La Philippe Gilbert juniors Stage 1,83.8,,61.9,,83.8,,,,21.9,,,,,,,,50,188,446,1370,1320
2022 La Philippe Gilbert juniors Stage 2,119.643,3.55,72.1,9.02,111,,0.693,,43.3,,,,,,,,-40,127,534,1920,1960
2022 La Picto - Charentaise,120.051,1.27,107,20.9,98,,4.12,,6.78,,0.881,,0.881,,,,-20,50,141,880,900
2022 La Polynormande,171.92,,170,60.9,111,,1.92,,,,,,,,,,70,35,189,2140,2070
2022 La Ronde Des Vallees Stage 1,114.277,2.86,111,26.6,87.9,,0.205,,,,0.212,,0.212,,,,20,58,175,1190,1170
2022 La Ronde Des Vallees Stage 2-1,11.627,0.127,11.5,0.337,11.3,,,,,,,,,,,,10,105,161,120,110
2022 La Ronde Des Vallees Stage 2-2,99.08,4.48,94.6,32.1,67,,,,,,,,,,,,-40,90,291,1280,1320
2022 La Route des Geants - Saint-Omer - Ieper,119.96,10.3,91.3,44.5,72.3,,18.2,,0.16,3.13,,,,,,,10,9,148,1140,1130
2022 Lillehammer GP,130.97,,110,,130,,1.17,0.383,19.8,,,,,,,,770,122,959,2440,1670
2022 Lotto Belgium Tour Prologue,4.286,,0.146,,4.29,,4,,0.14,,,,,,,,10,234,265,40,30
2022 Lotto Belgium Tour Stage 1,110.219,2.63,92.9,17.8,92.1,,14.5,,0.189,0.282,0.127,,,,,,,-1,3,140,140
2022 Lotto Belgium Tour Stage 2,105.5,15,66.2,41,56.2,,24.3,,,8.38,,,,,,,10,13,107,1210,1200
2022 Luxembourg Road National Championships,149.032,4.15,69.6,,149,,0.382,,74.9,,,,,,,,,182,347,1550,1550
"2022 Maryland Cycling Classic, presented by UnitedHealthcare",200.1,17.5,137,26.5,173,,11,,34.6,0.423,,,,,,,-160,,287,1940,2100
